Source,Target,Weight
Irwine Whitty,Skeffington; Son,1
Isaac Bickerstaffe,William Griffin,1
J. C. R. Licklider,D. Nutt,1
J. Comyns Carr,Macmillan; Co.,1
J. Greenhalgh Walker,W. Andrews; Co.,1
J. L. Mackie,T. Fisher Unwin,1
J. Monk Foster,"Digby, Long",1
J. P. Howell,Henry Herringman,1
J. W.,J. Waterson,1
James A. Barcia,D. Stott,1
James A. Weston,S. W. Partridge; Co.,1
James Boswell,John Wilkie,1
James Bovell Mackenzie,W. Briggs,1
James Brayshay,Groombridge; Sons,1
James Carlile,James Knapton,1
James Cartwright Cross,J. Parker,1
James Grant,Ward; Downey,1
James Hogg,Henry Colburn,2
James McGrigor Allan,T. H. Lacy,1
James Shirley,Andrew Crooke; William Cooke,2
James Shirley,R. Whitaker,1
James Shirley,W. Cooke,1
James Shirley,William Cooke; James Becket,1
James T. Tanner,Enoch; Sons,1
Jean-Pierre Claris de Florian,Harrison; Co.,1
Jessie Helen Macintosh,Ideal Publishing Union,1
Joanna Baillie,Henry Colburn,1
Joanna Baillie,J. Ballantyne; Co.,2
Joanna Baillie,Longman,5
Joanna Baillie,T. Cadell; W. Davies,2
Johann Bartholomäus Trommsdorff,Longman,1
John Alfred Parker,Leadenhall Press,1
John Ashford,A. W. Bennett,1
John Baillie,R. Dodsley,1
John Bancroft,R. Bentley;M. Magnes,1
John Banks,R. Bentley;M. Magnes,1
John Banks,Richard Bentley,1
John Banks,Richard Wellington,1
John Bayley,Lee; Hurst,1
John Bigland,Longman,1
John Britton,Vernor; Hood,1
John Brown,J. R. Tonson; S. Draper,1
John Brown,J. Wenman,1
John Brown,T. Caslon,1
John Burgoyne,T. Becket,1
"John Churchill, 1st Duke of Marlborough",T. Fall,1
John Cole,John Cole,1
John Collett,Bickers; Son,1
John Corye,James Magnus,1
John Delap,J. Bowen,2
John Delap,W.; A. Lee,1
John Digby Gordon,Remington; Co.,1
John Dryden,Henry Herringman,9
John Dryden,J. Tonson; T. Bennet,1
John Dryden,Jacob Tonson,2
John Dryden,Joseph Hindmarsh,1
John Dryden,R. Bentley; J. Tonson,2
John Dryden,R. Bentley;M. Magnes,1
John Dryden,Richard Bentley & Sons,1
John Dryden,Richard Wellington,1
John Dryden,T. Chapman,1
"John Dudley, 1st Duke of Northumberland",Reeves; Turner,1
John Eachard,the Author,1
John Fletcher,A. Crooke; W. Cooke,1
John Fletcher,J. Harison,1
John Fletcher,J. W.; J. B.,1
John Fletcher,J. Waterson,1
John Fletcher,Timothy Goodwin,1
John Francis Brewer,Methuen; Co.,1
John Gay,T. Astley,1
John George Bennett,T. Cautley Newby,1
John Hoole,J. Becket,1
John Hoole,T. Becket,1
John Howe,W. Bulmer,1
John Hughes,John Watts,1
John Huntley Skrine,Macmillan; Co.,1
John Huntley Skrine,William Blackwood; Sons,1
John Istorum,Kegan Paul; Co.,1
John Kirke,J. Becket,1
John Laurens Bicknell,T. Kilpack,1
John Leanerd,Charles Harper,1
John M. Dillon,"Longman, Hurst, Rees; Orme",1
John Michael Tobin,John Murray,1
John Oliver Hobbes,T. Fisher Unwin,2
John Philip Kemble,C. Stalkerd,1
John Russell Russell,"Longman, Hurst, Rees; Orme",1
John Snaith,"The Copp, Clark Co.",1
John Todhunter,Elkin Mathews,1
John Webster,J. Benson,1
John Webster,J. Waterson,1
John Westland Marston,C. Mitchell,1
John William Calcraft,"Simpkin, Marshall",2
"Johnny ""Hammond"" Smith",Cornish Bros.,1
"Johnny ""Hammond"" Smith",W. Ridgway,1
Joseph Arrowsmith,William Cademan,1
Joseph Aston,Longman,1
